2024-11-23 16:53:00 - Latitud Promedio: 0.000000, Longitud Promedio: 0.000000
2024-11-23 17:09:02 - Latitud Promedio: -17.778789, Longitud Promedio: -63.157106
2024-11-23 17:09:03 - Latitud Promedio: -17.778799, Longitud Promedio: -63.157112
2024-11-23 17:09:04 - Latitud Promedio: -17.778809, Longitud Promedio: -63.157118
2024-11-23 17:09:05 - Latitud Promedio: -17.778818, Longitud Promedio: -63.157125
2024-11-23 17:09:06 - Latitud Promedio: -17.778829, Longitud Promedio: -63.157130
2024-11-23 17:09:07 - Latitud Promedio: -17.778839, Longitud Promedio: -63.157133
2024-11-23 17:09:08 - Latitud Promedio: -17.778846, Longitud Promedio: -63.157134
2024-11-23 17:09:09 - Latitud Promedio: -17.778848, Longitud Promedio: -63.157132
2024-11-23 17:09:11 - Latitud Promedio: -17.778849, Longitud Promedio: -63.157128
2024-11-23 17:09:12 - Latitud Promedio: -17.778852, Longitud Promedio: -63.157127
2024-11-23 17:09:13 - Latitud Promedio: -17.778860, Longitud Promedio: -63.157127
2024-11-23 17:09:14 - Latitud Promedio: -17.778869, Longitud Promedio: -63.157125
2024-11-23 17:09:15 - Latitud Promedio: -17.778879, Longitud Promedio: -63.157120
2024-11-23 17:09:16 - Latitud Promedio: -17.778888, Longitud Promedio: -63.157113
2024-11-23 17:09:17 - Latitud Promedio: -17.778894, Longitud Promedio: -63.157107
2024-11-23 17:09:18 - Latitud Promedio: -17.778898, Longitud Promedio: -63.157100
2024-11-23 17:09:19 - Latitud Promedio: -17.778897, Longitud Promedio: -63.157092
2024-11-23 17:09:20 - Latitud Promedio: -17.778892, Longitud Promedio: -63.157083
2024-11-23 17:09:21 - Latitud Promedio: -17.778883, Longitud Promedio: -63.157073
2024-11-23 17:09:22 - Latitud Promedio: -17.778868, Longitud Promedio: -63.157061
2024-11-23 17:09:24 - Latitud Promedio: -17.778853, Longitud Promedio: -63.157051
2024-11-23 17:09:25 - Latitud Promedio: -17.778842, Longitud Promedio: -63.157042
2024-11-23 17:09:26 - Latitud Promedio: -17.778828, Longitud Promedio: -63.157034
2024-11-23 17:09:27 - Latitud Promedio: -17.778822, Longitud Promedio: -63.157033
2024-11-23 17:09:28 - Latitud Promedio: -17.778819, Longitud Promedio: -63.157032
2024-11-23 17:09:29 - Latitud Promedio: -17.778816, Longitud Promedio: -63.157033
2024-11-23 17:09:30 - Latitud Promedio: -17.778822, Longitud Promedio: -63.157033
2024-11-23 17:09:31 - Latitud Promedio: -17.778826, Longitud Promedio: -63.157037
2024-11-23 17:09:32 - Latitud Promedio: -17.778830, Longitud Promedio: -63.157040
2024-11-23 17:09:33 - Latitud Promedio: -17.778826, Longitud Promedio: -63.157043
2024-11-23 17:09:34 - Latitud Promedio: -17.778824, Longitud Promedio: -63.157049
2024-11-23 17:09:35 - Latitud Promedio: -17.778819, Longitud Promedio: -63.157055
2024-11-23 17:09:37 - Latitud Promedio: -17.778813, Longitud Promedio: -63.157060
2024-11-23 17:09:38 - Latitud Promedio: -17.778811, Longitud Promedio: -63.157067
2024-11-23 17:09:39 - Latitud Promedio: -17.778809, Longitud Promedio: -63.157070
2024-11-23 17:09:40 - Latitud Promedio: -17.778810, Longitud Promedio: -63.157072
2024-11-23 17:09:41 - Latitud Promedio: -17.778812, Longitud Promedio: -63.157077
2024-11-23 17:09:42 - Latitud Promedio: -17.778813, Longitud Promedio: -63.157079
2024-11-23 17:09:43 - Latitud Promedio: -17.778810, Longitud Promedio: -63.157075
2024-11-23 17:09:44 - Latitud Promedio: -17.778805, Longitud Promedio: -63.157066
2024-11-23 17:09:45 - Latitud Promedio: -17.778804, Longitud Promedio: -63.157057
2024-11-23 17:09:46 - Latitud Promedio: -17.778805, Longitud Promedio: -63.157051
2024-11-23 17:09:47 - Latitud Promedio: -17.778811, Longitud Promedio: -63.157049
2024-11-23 17:09:48 - Latitud Promedio: -17.778816, Longitud Promedio: -63.157047
2024-11-23 17:09:50 - Latitud Promedio: -17.778817, Longitud Promedio: -63.157046
2024-11-23 17:09:51 - Latitud Promedio: -17.778818, Longitud Promedio: -63.157047
2024-11-23 17:09:52 - Latitud Promedio: -17.778821, Longitud Promedio: -63.157047
2024-11-23 17:09:53 - Latitud Promedio: -17.778822, Longitud Promedio: -63.157048
2024-11-23 17:09:54 - Latitud Promedio: -17.778820, Longitud Promedio: -63.157048
2024-11-23 17:09:55 - Latitud Promedio: -17.778823, Longitud Promedio: -63.157050
2024-11-23 17:09:56 - Latitud Promedio: -17.778827, Longitud Promedio: -63.157055
2024-11-23 17:09:57 - Latitud Promedio: -17.778826, Longitud Promedio: -63.157056
2024-11-23 17:09:58 - Latitud Promedio: -17.778824, Longitud Promedio: -63.157058
2024-11-23 17:09:59 - Latitud Promedio: -17.778826, Longitud Promedio: -63.157061
2024-11-23 17:10:00 - Latitud Promedio: -17.778827, Longitud Promedio: -63.157062
2024-11-23 17:10:01 - Latitud Promedio: -17.778827, Longitud Promedio: -63.157061
2024-11-23 17:10:02 - Latitud Promedio: -17.778824, Longitud Promedio: -63.157059
2024-11-23 17:10:04 - Latitud Promedio: -17.778824, Longitud Promedio: -63.157058
2024-11-23 17:10:05 - Latitud Promedio: -17.778824, Longitud Promedio: -63.157060
2024-11-23 17:10:06 - Latitud Promedio: -17.778827, Longitud Promedio: -63.157058
2024-11-23 17:10:07 - Latitud Promedio: -17.778831, Longitud Promedio: -63.157058
2024-11-23 17:10:08 - Latitud Promedio: -17.778829, Longitud Promedio: -63.157059
2024-11-23 17:10:09 - Latitud Promedio: -17.778830, Longitud Promedio: -63.157060
2024-11-23 17:10:10 - Latitud Promedio: -17.778832, Longitud Promedio: -63.157059
2024-11-23 17:10:11 - Latitud Promedio: -17.778830, Longitud Promedio: -63.157059
2024-11-23 17:10:12 - Latitud Promedio: -17.778830, Longitud Promedio: -63.157061
2024-11-23 17:10:13 - Latitud Promedio: -17.778832, Longitud Promedio: -63.157063
2024-11-23 17:10:14 - Latitud Promedio: -17.778834, Longitud Promedio: -63.157067
2024-11-23 17:10:15 - Latitud Promedio: -17.778831, Longitud Promedio: -63.157069
2024-11-23 17:10:16 - Latitud Promedio: -17.778831, Longitud Promedio: -63.157069
2024-11-23 17:10:18 - Latitud Promedio: -17.778831, Longitud Promedio: -63.157068
2024-11-23 17:10:19 - Latitud Promedio: -17.778831, Longitud Promedio: -63.157065
2024-11-23 17:10:20 - Latitud Promedio: -17.778831, Longitud Promedio: -63.157061
2024-11-23 17:10:21 - Latitud Promedio: -17.778830, Longitud Promedio: -63.157059
2024-11-23 17:10:22 - Latitud Promedio: -17.778832, Longitud Promedio: -63.157059
2024-11-23 17:10:23 - Latitud Promedio: -17.778834, Longitud Promedio: -63.157059
2024-11-23 17:10:24 - Latitud Promedio: -17.778833, Longitud Promedio: -63.157060
2024-11-23 17:10:25 - Latitud Promedio: -17.778834, Longitud Promedio: -63.157060
2024-11-23 17:10:26 - Latitud Promedio: -17.778837, Longitud Promedio: -63.157059
2024-11-23 17:10:27 - Latitud Promedio: -17.778837, Longitud Promedio: -63.157058
2024-11-23 17:10:28 - Latitud Promedio: -17.778836, Longitud Promedio: -63.157054
2024-11-23 17:10:29 - Latitud Promedio: -17.778837, Longitud Promedio: -63.157050
2024-11-23 17:10:31 - Latitud Promedio: -17.778838, Longitud Promedio: -63.157048
2024-11-23 17:10:32 - Latitud Promedio: -17.778839, Longitud Promedio: -63.157044
2024-11-23 17:10:33 - Latitud Promedio: -17.778835, Longitud Promedio: -63.157040
2024-11-23 17:10:34 - Latitud Promedio: -17.778830, Longitud Promedio: -63.157037
2024-11-23 17:10:35 - Latitud Promedio: -17.778824, Longitud Promedio: -63.157038
2024-11-23 17:10:36 - Latitud Promedio: -17.778821, Longitud Promedio: -63.157036
2024-11-23 17:10:37 - Latitud Promedio: -17.778818, Longitud Promedio: -63.157029
2024-11-23 17:10:38 - Latitud Promedio: -17.778819, Longitud Promedio: -63.157023
2024-11-23 17:10:39 - Latitud Promedio: -17.778821, Longitud Promedio: -63.157016
2024-11-23 17:10:40 - Latitud Promedio: -17.778824, Longitud Promedio: -63.157016
2024-11-23 17:10:41 - Latitud Promedio: -17.778827, Longitud Promedio: -63.157013
2024-11-23 17:10:42 - Latitud Promedio: -17.778829, Longitud Promedio: -63.157011
2024-11-23 17:10:43 - Latitud Promedio: -17.778828, Longitud Promedio: -63.157010
2024-11-23 17:10:45 - Latitud Promedio: -17.778831, Longitud Promedio: -63.157010
2024-11-23 17:10:46 - Latitud Promedio: -17.778833, Longitud Promedio: -63.157008
2024-11-23 17:10:47 - Latitud Promedio: -17.778838, Longitud Promedio: -63.157006
2024-11-23 17:10:48 - Latitud Promedio: -17.778842, Longitud Promedio: -63.157007
2024-11-23 17:10:49 - Latitud Promedio: -17.778845, Longitud Promedio: -63.157010
2024-11-23 17:10:50 - Latitud Promedio: -17.778849, Longitud Promedio: -63.157012
2024-11-23 17:10:51 - Latitud Promedio: -17.778851, Longitud Promedio: -63.157013
2024-11-23 17:10:52 - Latitud Promedio: -17.778850, Longitud Promedio: -63.157012
2024-11-23 17:10:53 - Latitud Promedio: -17.778849, Longitud Promedio: -63.157012
2024-11-23 17:10:54 - Latitud Promedio: -17.778845, Longitud Promedio: -63.157012
2024-11-23 17:10:55 - Latitud Promedio: -17.778841, Longitud Promedio: -63.157010
2024-11-23 17:10:56 - Latitud Promedio: -17.778839, Longitud Promedio: -63.157008
2024-11-23 17:10:57 - Latitud Promedio: -17.778835, Longitud Promedio: -63.157005
2024-11-23 17:14:56 - Latitud Promedio: -17.778379, Longitud Promedio: -63.156385
2024-11-23 17:15:03 - Latitud Promedio: -17.778407, Longitud Promedio: -63.156414
2024-11-24 18:19:13 - Latitud Promedio: -17.778811, Longitud Promedio: -63.156869
2024-11-24 18:19:14 - Latitud Promedio: -17.778808, Longitud Promedio: -63.156866
2024-11-24 18:19:15 - Latitud Promedio: -17.778793, Longitud Promedio: -63.156851
2024-11-24 18:19:18 - Latitud Promedio: -17.778785, Longitud Promedio: -63.156836
2024-11-24 18:19:21 - Latitud Promedio: -17.778775, Longitud Promedio: -63.156828
2024-11-24 18:19:26 - Latitud Promedio: -17.778767, Longitud Promedio: -63.156835
2024-11-24 18:19:28 - Latitud Promedio: -17.778757, Longitud Promedio: -63.156836
2024-11-24 18:19:29 - Latitud Promedio: -17.778766, Longitud Promedio: -63.156819
2024-11-24 18:19:30 - Latitud Promedio: -17.778770, Longitud Promedio: -63.156809
2024-11-24 18:19:31 - Latitud Promedio: -17.778777, Longitud Promedio: -63.156799
2024-11-24 18:19:32 - Latitud Promedio: -17.778782, Longitud Promedio: -63.156789
2024-11-24 18:19:33 - Latitud Promedio: -17.778785, Longitud Promedio: -63.156784
2024-11-24 18:19:35 - Latitud Promedio: -17.778783, Longitud Promedio: -63.156783
2024-11-24 18:19:36 - Latitud Promedio: -17.778784, Longitud Promedio: -63.156780
2024-11-24 18:19:37 - Latitud Promedio: -17.778785, Longitud Promedio: -63.156779
2024-11-24 18:19:38 - Latitud Promedio: -17.778787, Longitud Promedio: -63.156774
2024-11-24 18:19:39 - Latitud Promedio: -17.778789, Longitud Promedio: -63.156765
2024-11-24 18:19:40 - Latitud Promedio: -17.778791, Longitud Promedio: -63.156758
2024-11-24 18:19:41 - Latitud Promedio: -17.778794, Longitud Promedio: -63.156751
2024-11-24 18:19:43 - Latitud Promedio: -17.778797, Longitud Promedio: -63.156746
2024-11-24 18:19:44 - Latitud Promedio: -17.778799, Longitud Promedio: -63.156738
2024-11-24 18:19:45 - Latitud Promedio: -17.778801, Longitud Promedio: -63.156732
2024-11-24 18:19:47 - Latitud Promedio: -17.778807, Longitud Promedio: -63.156729
2024-11-24 18:19:48 - Latitud Promedio: -17.778817, Longitud Promedio: -63.156730
2024-11-24 18:19:49 - Latitud Promedio: -17.778822, Longitud Promedio: -63.156733
2024-11-24 18:19:50 - Latitud Promedio: -17.778824, Longitud Promedio: -63.156738
2024-11-24 18:19:53 - Latitud Promedio: -17.778826, Longitud Promedio: -63.156740
2024-11-24 18:19:54 - Latitud Promedio: -17.778825, Longitud Promedio: -63.156752
2024-11-24 18:19:55 - Latitud Promedio: -17.778824, Longitud Promedio: -63.156765
2024-11-24 18:19:56 - Latitud Promedio: -17.778825, Longitud Promedio: -63.156775
2024-11-24 18:19:57 - Latitud Promedio: -17.778826, Longitud Promedio: -63.156779
2024-11-24 18:20:00 - Latitud Promedio: -17.778839, Longitud Promedio: -63.156791
2024-11-24 18:20:01 - Latitud Promedio: -17.778842, Longitud Promedio: -63.156792
2024-11-24 18:20:02 - Latitud Promedio: -17.778846, Longitud Promedio: -63.156792
2024-11-24 18:20:03 - Latitud Promedio: -17.778854, Longitud Promedio: -63.156789
2024-11-24 18:20:04 - Latitud Promedio: -17.778862, Longitud Promedio: -63.156788
2024-11-24 18:20:05 - Latitud Promedio: -17.778864, Longitud Promedio: -63.156791
2024-11-24 18:20:09 - Latitud Promedio: -17.778866, Longitud Promedio: -63.156789
2024-11-24 18:20:10 - Latitud Promedio: -17.778858, Longitud Promedio: -63.156783
2024-11-24 18:20:11 - Latitud Promedio: -17.778849, Longitud Promedio: -63.156782
2024-11-24 18:20:13 - Latitud Promedio: -17.778844, Longitud Promedio: -63.156794
2024-11-24 18:20:20 - Latitud Promedio: -17.778820, Longitud Promedio: -63.156830
2024-11-24 18:20:22 - Latitud Promedio: -17.778822, Longitud Promedio: -63.156823
2024-11-24 18:20:32 - Latitud Promedio: -17.778841, Longitud Promedio: -63.156819
2024-11-24 18:20:37 - Latitud Promedio: -17.778859, Longitud Promedio: -63.156823
2024-11-24 18:20:39 - Latitud Promedio: -17.778857, Longitud Promedio: -63.156842
2024-11-24 18:21:54 - Latitud Promedio: -17.778767, Longitud Promedio: -63.156865
2024-11-24 18:21:55 - Latitud Promedio: -17.778766, Longitud Promedio: -63.156864
2024-11-24 18:21:58 - Latitud Promedio: -17.778756, Longitud Promedio: -63.156854
2024-11-24 18:21:59 - Latitud Promedio: -17.778749, Longitud Promedio: -63.156848
2024-11-24 18:22:02 - Latitud Promedio: -17.778745, Longitud Promedio: -63.156847
2024-11-24 18:22:03 - Latitud Promedio: -17.778741, Longitud Promedio: -63.156844
2024-11-24 18:22:24 - Latitud Promedio: -17.778744, Longitud Promedio: -63.156837
2024-11-24 18:22:28 - Latitud Promedio: -17.778728, Longitud Promedio: -63.156802
2024-11-24 18:22:29 - Latitud Promedio: -17.778698, Longitud Promedio: -63.156793
2024-11-24 18:22:30 - Latitud Promedio: -17.778699, Longitud Promedio: -63.156791
2024-11-24 18:22:33 - Latitud Promedio: -17.778698, Longitud Promedio: -63.156792
2024-11-24 18:22:35 - Latitud Promedio: -17.778702, Longitud Promedio: -63.156800
2024-11-24 18:23:27 - Latitud Promedio: -17.778791, Longitud Promedio: -63.156900
2024-11-24 18:23:28 - Latitud Promedio: -17.778794, Longitud Promedio: -63.156897
2024-11-24 18:23:30 - Latitud Promedio: -17.778798, Longitud Promedio: -63.156889
2024-11-24 18:23:31 - Latitud Promedio: -17.778804, Longitud Promedio: -63.156889
2024-11-24 18:23:33 - Latitud Promedio: -17.778813, Longitud Promedio: -63.156888
2024-11-24 18:23:36 - Latitud Promedio: -17.778823, Longitud Promedio: -63.156883
2024-11-24 18:23:37 - Latitud Promedio: -17.778825, Longitud Promedio: -63.156886
2024-11-24 18:23:40 - Latitud Promedio: -17.778854, Longitud Promedio: -63.156902
2024-11-24 18:23:51 - Latitud Promedio: -17.778862, Longitud Promedio: -63.156898
2024-11-24 18:23:52 - Latitud Promedio: -17.778865, Longitud Promedio: -63.156895
2024-11-24 18:23:54 - Latitud Promedio: -17.778862, Longitud Promedio: -63.156888
2024-11-24 18:23:56 - Latitud Promedio: -17.778853, Longitud Promedio: -63.156882
2024-11-24 18:24:11 - Latitud Promedio: -17.778826, Longitud Promedio: -63.156853
2024-11-24 18:24:12 - Latitud Promedio: -17.778831, Longitud Promedio: -63.156852
2024-11-24 18:24:13 - Latitud Promedio: -17.778838, Longitud Promedio: -63.156851
2024-11-24 18:24:16 - Latitud Promedio: -17.778842, Longitud Promedio: -63.156851
2024-11-24 18:24:17 - Latitud Promedio: -17.778848, Longitud Promedio: -63.156852
